LineId,Timestamp,action,addr,advpnsc,assignip,auditid,auditreporttype,auditscore,audittime,bandwidth,cookies,cpu,criticalcount,date,devid,devname,dhcp_msg,dir,disk,disklograte,duration,error_num,espauth,esptransform,eventtime,exch,fazlograte,freediskstorage,group,highcount,hostname,idseq,in_spi,init,interface,ip,itime,lease,level,locip,locport,logdesc,logid,logver,lowcount,mac,mediumcount,mem,mode,msg,name,nextstat,out_spi,outintf,passedcount,peer_notif,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,setuprate,spi,stage,status,subtype,sysuptime,time,total,totalsession,tunnelid,tunnelip,tunneltype,type,tz,ui,used,user,useralt,vd,version,vpntunnel,waninfo,xauthgroup,xauthuser,Content,EventId,Template
1,N/A,,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751754624843767899,,,,,,ArcherAX55,19900372806008834,,,internal1,10.63.44.101,1751754627,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:30:24,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008834 itime=1751754627 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:30:24 eventtime=1751754624843767899 tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK""",E1,"logver=0702111740 idseq=19900372806008834 itime=1751754627 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:30:24 eventtime=1751754624843767899 tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK"""
2,N/A,tunnel-stats,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1114987,,,,1751754684862908499,,,,N/A,,,19900372806008832,,,,,1751754689,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,185308176,,88.61.48.146,500,,,400945590,,,,,,vpn,,00:31:24,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A,"logver=0702111740 idseq=19900372806008832 itime=1751754689 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:31:24 eventtime=1751754684862908499 tz=""+0200"" logid=""0101037141"" type=""event"" subtype=""vpn"" level=""notice"" logdesc=""IPsec tunnel statistics"" msg=""IPsec tunnel statistics"" action=""tunnel-stats"" remip=88.61.48.146 locip=93.64.253.210 remport=500 locport=500 outintf=""wan1"" cookies=""5df8cf6e832e3278/7c26da8af8e39c6e"" user=""88.61.48.146"" group=""N/A"" useralt=""N/A"" xauthuser=""N/A"" xauthgroup=""N/A"" assignip=N/A vpntunnel=""to-pescara-pri"" tunnelip=N/A tunnelid=2206215695 tunneltype=""ipsec"" duration=1114987 sentbyte=400945590 rcvdbyte=185308176 nextstat=600 advpnsc=0",E2,"logver=0702111740 idseq=19900372806008832 itime=1751754689 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:31:24 eventtime=1751754684862908499 tz=""+0200"" logid=""0101037141"" type=""event"" subtype=""vpn"" level=""notice"" logdesc=""IPsec tunnel statistics"" msg=""IPsec tunnel statistics"" action=""tunnel-stats"" remip=88.61.48.146 locip=93.64.253.210 remport=500 locport=500 outintf=""wan1"" cookies=""5df8cf6e832e3278/7c26da8af8e39c6e"" user=""88.61.48.146"" group=""N/A"" useralt=""N/A"" xauthuser=""N/A"" xauthgroup=""N/A"" assignip=N/A vpntunnel=""to-pescara-pri"" tunnelip=N/A tunnelid=2206215695 tunneltype=""ipsec"" duration=1114987 sentbyte=400945590 rcvdbyte=185308176 nextstat=600 advpnsc=0"
3,N/A,perf-stats,,,,,,,,6/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751754720597425659,,0,0,,,,19900372806008832,,,,,1751754725,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,"Performance statistics: average CPU: 0, memory:  40, concurrent sessions:  44, setup-rate: 0",,,,,,,,,,,,,,,0,,,,system,1115536,00:32:01,,44,,,,event,+0200,,,,,root,,,"name=wan1,bytes=1516715254/6481088798,packets=7849124/10090377;",,,"logver=0702111740 idseq=19900372806008832 itime=1751754725 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:32:01 eventtime=1751754720597425659 tz=""+0200"" logid=""0100040704"" type=""event"" subtype=""system"" level=""notice"" logdesc=""System performance statistics"" action=""perf-stats"" cpu=0 mem=40 totalsession=44 disk=0 bandwidth=""6/3"" setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115536 waninfo=""name=wan1,bytes=1516715254/6481088798,packets=7849124/10090377;"" msg=""Performance statistics: average CPU: 0, memory:  40, concurrent sessions:  44, setup-rate: 0""",E3,"logver=0702111740 idseq=19900372806008832 itime=1751754725 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:32:01 eventtime=1751754720597425659 tz=""+0200"" logid=""0100040704"" type=""event"" subtype=""system"" level=""notice"" logdesc=""System performance statistics"" action=""perf-stats"" cpu=0 mem=40 totalsession=44 disk=0 bandwidth=""6/3"" setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115536 waninfo=""name=wan1,bytes=1516715254/6481088798,packets=7849124/10090377;"" msg=""Performance statistics: average CPU: 0, memory: 40, concurrent sessions: 44, setup-rate: 0"""
4,N/A,,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751754735214176279,,,,,,ArcherAX55,19900372806008868,,,internal1,10.63.44.101,1751754739,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:32:15,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008868 itime=1751754739 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:32:15 eventtime=1751754735214176279 tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK""",E1,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK"""
5,N/A,,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751754786867487899,,,,,,,19900372806008855,,,,,1751754790,,notice,,,FortiGate update succeeded,0100041000,0702111740,,,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes from 173.243.142.6:443,,,,,,,,,,,,,,,,,,update,system,,00:33:07,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008855 itime=1751754790 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:33:07 eventtime=1751754786867487899 tz=""+0200"" logid=""0100041000"" type=""event"" subtype=""system"" level=""notice"" logdesc=""FortiGate update succeeded"" status=""update"" msg=""Fortigate scheduled update fcni=yes fdni=yes fsci=yes from 173.243.142.6:443""",E4,"logver=0702111740 idseq=19900372806008855 itime=1751754790 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:33:07 eventtime=1751754786867487899 tz=""+0200"" logid=""0100041000"" type=""event"" subtype=""system"" level=""notice"" logdesc=""FortiGate update succeeded"" status=""update"" msg=""Fortigate scheduled update fcni=yes fdni=yes fsci=yes from 173.243.142.6:443"""
6,N/A,update,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751754809270061859,,,,,,,19900372806008846,,,,,1751754810,,notice,,,Scanunit reloaded AV Database,0100022813,0702111740,,,,,,scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful,,,,,,,,,,,,,,,,,,,system,,00:33:30,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008846 itime=1751754810 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:33:30 eventtime=1751754809270061859 tz=""+0200"" logid=""0100022813"" type=""event"" subtype=""system"" level=""notice"" logdesc=""Scanunit reloaded AV Database"" action=""update"" msg=""scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful""",E5,"logver=0702111740 idseq=19900372806008846 itime=1751754810 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:33:30 eventtime=1751754809270061859 tz=""+0200"" logid=""0100022813"" type=""event"" subtype=""system"" level=""notice"" logdesc=""Scanunit reloaded AV Database"" action=""update"" msg=""scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful"""
7,N/A,,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751754845594523179,,,,,,ArcherAX55,19900372806008853,,,internal1,10.63.44.101,1751754850,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:34:05,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008853 itime=1751754850 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:34:05 eventtime=1751754845594523179 tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK""",E1,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK"""
8,N/A,,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751754955984780759,,,,,,ArcherAX55,19900372806008855,,,internal1,10.63.44.101,1751754960,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:35:56,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008855 itime=1751754960 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:35:56 eventtime=1751754955984780759 tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK""",E1,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK"""
9,N/A,perf-stats,,,,,,,,3/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751755020607438339,,0,0,,,,19900372806008856,,,,,1751755024,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,"Performance statistics: average CPU: 0, memory:  40, concurrent sessions:  49, setup-rate: 0",,,,,,,,,,,,,,,0,,,,system,1115836,00:37:00,,49,,,,event,+0200,,,,,root,,,"name=wan1,bytes=1517005701/6481346788,packets=7850497/10091785;",,,"logver=0702111740 idseq=19900372806008856 itime=1751755024 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:37:00 eventtime=1751755020607438339 tz=""+0200"" logid=""0100040704"" type=""event"" subtype=""system"" level=""notice"" logdesc=""System performance statistics"" action=""perf-stats"" cpu=0 mem=40 totalsession=49 disk=0 bandwidth=""3/3"" setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115836 waninfo=""name=wan1,bytes=1517005701/6481346788,packets=7850497/10091785;"" msg=""Performance statistics: average CPU: 0, memory:  40, concurrent sessions:  49, setup-rate: 0""",E3,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0100040704"" type=""event"" subtype=""system"" level=""notice"" logdesc=""System performance statistics"" action=""perf-stats"" cpu=0 mem=40 <*> disk=0 <*> setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 <*> <*> msg=""Performance statistics: average CPU: 0, memory: 40, concurrent sessions: <*> setup-rate: 0"""
10,N/A,,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755066355158819,,,,,,ArcherAX55,19900372806008844,,,internal1,10.63.44.101,1751755071,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:37:47,,,,,,event,+0200,,,,,root,,,,,,"logver=0702111740 idseq=19900372806008844 itime=1751755071 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:37:47 eventtime=1751755066355158819 tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK""",E1,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0100026001"" type=""event"" subtype=""system"" level=""information"" logdesc=""DHCP Ack log"" interface=""internal1"" dhcp_msg=""Ack"" mac=""9C:53:22:49:C7:8C"" ip=10.63.44.101 lease=86400 hostname=""ArcherAX55"" msg=""DHCP server sends a DHCPACK"""
